id,name,year,glottocode,map_name_full,note
1,Bay Miwok,traditional,baym1241,Fig. 1.,
2,Coast Miwok,traditional,coas1301,Fig. 1.,
3,Costanoan,traditional,cost1250,Fig. 1.,
4,Hill Nomlaki / River Nomlaki,traditional,noml1242,Fig. 1.,
5,Konkow,traditional,nort2951,Fig. 1.,
6,Mountain Maidu,traditional,nort2952,Fig. 1.,
7,N. Sierra Miwok / Central Sierra Miwok / S. Sierra Miwok,traditional,sier1249,Fig. 1.,
8,N. Valley Yokuts,traditional,nort2937,Fig. 1.,
9,Nisenan,traditional,nise1244,Fig. 1.,
10,Plains Miwok,traditional,plai1259,Fig. 1.,
11,S. Patwin / Hill Patwin / River Patwin,traditional,patw1250,Fig. 1.,
12,Wappo,traditional,wapp1239,Fig. 1.,
13,Wintu,traditional,wint1259,Fig. 1.,
14,Yana,traditional,yana1271,Fig. 1.,
